id	class	member	line	item	detail
485	C13-HANDLE-LEAK	mc	3441	L.arith	back matter: | 1937 | Birkhoff | `A.define` `A.erel` `I.convex` `K.arrow` `K.produce` `L.alpha` `L.arith` `L.birk` `L.bits` `L.dist` `L.omega` `L.pushback` `L.step` `S.box` `S.seed` |
486	C13-HANDLE-LEAK	mc	3441	L.birk	back matter: | 1937 | Birkhoff | `A.define` `A.erel` `I.convex` `K.arrow` `K.produce` `L.alpha` `L.arith` `L.birk` `L.bits` `L.dist` `L.omega` `L.pushback` `L.step` `S.box` `S.seed` |
487	C13-HANDLE-LEAK	mc	3441	L.bits	back matter: | 1937 | Birkhoff | `A.define` `A.erel` `I.convex` `K.arrow` `K.produce` `L.alpha` `L.arith` `L.birk` `L.bits` `L.dist` `L.omega` `L.pushback` `L.step` `S.box` `S.seed` |
488	C13-HANDLE-LEAK	mc	3441	L.dist	back matter: | 1937 | Birkhoff | `A.define` `A.erel` `I.convex` `K.arrow` `K.produce` `L.alpha` `L.arith` `L.birk` `L.bits` `L.dist` `L.omega` `L.pushback` `L.step` `S.box` `S.seed` |
489	C13-HANDLE-LEAK	mc	3441	L.omega	back matter: | 1937 | Birkhoff | `A.define` `A.erel` `I.convex` `K.arrow` `K.produce` `L.alpha` `L.arith` `L.birk` `L.bits` `L.dist` `L.omega` `L.pushback` `L.step` `S.box` `S.seed` |
490	C13-HANDLE-LEAK	mc	3441	L.step	back matter: | 1937 | Birkhoff | `A.define` `A.erel` `I.convex` `K.arrow` `K.produce` `L.alpha` `L.arith` `L.birk` `L.bits` `L.dist` `L.omega` `L.pushback` `L.step` `S.box` `S.seed` |
491	C13-HANDLE-LEAK	mc	3441	S.box	back matter: | 1937 | Birkhoff | `A.define` `A.erel` `I.convex` `K.arrow` `K.produce` `L.alpha` `L.arith` `L.birk` `L.bits` `L.dist` `L.omega` `L.pushback` `L.step` `S.box` `S.seed` |
492	C13-HANDLE-LEAK	mc	3441	S.seed	back matter: | 1937 | Birkhoff | `A.define` `A.erel` `I.convex` `K.arrow` `K.produce` `L.alpha` `L.arith` `L.birk` `L.bits` `L.dist` `L.omega` `L.pushback` `L.step` `S.box` `S.seed` |
493	C13-HANDLE-LEAK	mc	3442	L.bits	back matter: | 1937 | Shannon | `L.bits` |
494	C13-HANDLE-LEAK	mc	3443	S.bits	back matter: | 1938 | Shannon | `L.circuit` `S.bits` `W.onehot` |
495	C13-HANDLE-LEAK	mc	3443	W.onehot	back matter: | 1938 | Shannon | `L.circuit` `S.bits` `W.onehot` |
496	C13-HANDLE-LEAK	mc	3444	P.trunc	back matter: | 1939 | Inglis & Teller | `P.trunc` |
497	C13-HANDLE-LEAK	mc	3445	A.erel	back matter: | 1940 | Birkhoff | `A.derived` `A.erel` `A.morph` `A.prod` `I.convex` `I.interval` `I.shape` `L.arith` `L.closed` `L.total` |
498	C13-HANDLE-LEAK	mc	3445	A.morph	back matter: | 1940 | Birkhoff | `A.derived` `A.erel` `A.morph` `A.prod` `I.convex` `I.interval` `I.shape` `L.arith` `L.closed` `L.total` |
499	C13-HANDLE-LEAK	mc	3445	A.prod	back matter: | 1940 | Birkhoff | `A.derived` `A.erel` `A.morph` `A.prod` `I.convex` `I.interval` `I.shape` `L.arith` `L.closed` `L.total` |
500	C13-HANDLE-LEAK	mc	3445	I.convex	back matter: | 1940 | Birkhoff | `A.derived` `A.erel` `A.morph` `A.prod` `I.convex` `I.interval` `I.shape` `L.arith` `L.closed` `L.total` |
501	C13-HANDLE-LEAK	mc	3445	I.shape	back matter: | 1940 | Birkhoff | `A.derived` `A.erel` `A.morph` `A.prod` `I.convex` `I.interval` `I.shape` `L.arith` `L.closed` `L.total` |
502	C13-HANDLE-LEAK	mc	3445	L.arith	back matter: | 1940 | Birkhoff | `A.derived` `A.erel` `A.morph` `A.prod` `I.convex` `I.interval` `I.shape` `L.arith` `L.closed` `L.total` |
503	C13-HANDLE-LEAK	mc	3445	L.closed	back matter: | 1940 | Birkhoff | `A.derived` `A.erel` `A.morph` `A.prod` `I.convex` `I.interval` `I.shape` `L.arith` `L.closed` `L.total` |
504	C13-HANDLE-LEAK	mc	3445	L.total	back matter: | 1940 | Birkhoff | `A.derived` `A.erel` `A.morph` `A.prod` `I.convex` `I.interval` `I.shape` `L.arith` `L.closed` `L.total` |
505	C13-HANDLE-LEAK	mc	3446	G.stat	back matter: | 1940 | Deming & Stephan | `A.stat2` `G.stat` |
506	C13-HANDLE-LEAK	mc	3447	A.erel	back matter: | 1941 | Dushnik & Miller | `A.erel` `K.axis` `L.dim` |
507	C13-HANDLE-LEAK	mc	3447	K.axis	back matter: | 1941 | Dushnik & Miller | `A.erel` `K.axis` `L.dim` |
508	C13-HANDLE-LEAK	mc	3447	L.dim	back matter: | 1941 | Dushnik & Miller | `A.erel` `K.axis` `L.dim` |
509	C13-HANDLE-LEAK	mc	3449	T.dens	back matter: | 1942 | Racah | `T.a11` `T.a12` `T.dens` `T.dich` `T.invariant` `T.scheme` `T.tower` |
510	C13-HANDLE-LEAK	mc	3449	T.dich	back matter: | 1942 | Racah | `T.a11` `T.a12` `T.dens` `T.dich` `T.invariant` `T.scheme` `T.tower` |
511	C13-HANDLE-LEAK	mc	3449	T.scheme	back matter: | 1942 | Racah | `T.a11` `T.a12` `T.dens` `T.dich` `T.invariant` `T.scheme` `T.tower` |
512	C13-HANDLE-LEAK	mc	3449	T.tower	back matter: | 1942 | Racah | `T.a11` `T.a12` `T.dens` `T.dich` `T.invariant` `T.scheme` `T.tower` |
513	C13-HANDLE-LEAK	mc	3450	A.clos	back matter: | 1942 | Ward | `A.clos` `F.moore` `F.open` |
514	C13-HANDLE-LEAK	mc	3450	F.moore	back matter: | 1942 | Ward | `A.clos` `F.moore` `F.open` |
515	C13-HANDLE-LEAK	mc	3450	F.open	back matter: | 1942 | Ward | `A.clos` `F.moore` `F.open` |
516	C13-HANDLE-LEAK	mc	3451	S.parent	back matter: | 1943 | Racah | `S.parent` `T.a10` `T.a9` `T.a9p` `T.excl` `T.tower` |
517	C13-HANDLE-LEAK	mc	3451	T.excl	back matter: | 1943 | Racah | `S.parent` `T.a10` `T.a9` `T.a9p` `T.excl` `T.tower` |
518	C13-HANDLE-LEAK	mc	3451	T.tower	back matter: | 1943 | Racah | `S.parent` `T.a10` `T.a9` `T.a9p` `T.excl` `T.tower` |
519	C13-HANDLE-LEAK	mc	3453	W.face	back matter: | 1948 | Coxeter | `W.face` |
520	C13-HANDLE-LEAK	mc	3454	A.blind	back matter: | 1948 | Shannon | `A.blind` `A.ebits` `A.slack` `EM.notcomp` `G.reg` `K.axis` `K.redun` `K.transit` |
521	C13-HANDLE-LEAK	mc	3454	A.ebits	back matter: | 1948 | Shannon | `A.blind` `A.ebits` `A.slack` `EM.notcomp` `G.reg` `K.axis` `K.redun` `K.transit` |
522	C13-HANDLE-LEAK	mc	3454	A.slack	back matter: | 1948 | Shannon | `A.blind` `A.ebits` `A.slack` `EM.notcomp` `G.reg` `K.axis` `K.redun` `K.transit` |
523	C13-HANDLE-LEAK	mc	3454	G.reg	back matter: | 1948 | Shannon | `A.blind` `A.ebits` `A.slack` `EM.notcomp` `G.reg` `K.axis` `K.redun` `K.transit` |
524	C13-HANDLE-LEAK	mc	3454	K.axis	back matter: | 1948 | Shannon | `A.blind` `A.ebits` `A.slack` `EM.notcomp` `G.reg` `K.axis` `K.redun` `K.transit` |
525	C13-HANDLE-LEAK	mc	3454	K.redun	back matter: | 1948 | Shannon | `A.blind` `A.ebits` `A.slack` `EM.notcomp` `G.reg` `K.axis` `K.redun` `K.transit` |
526	C13-HANDLE-LEAK	mc	3455	S.box	back matter: | 1950 | Dilworth | `S.box` `S.down` |
527	C13-HANDLE-LEAK	mc	3455	S.down	back matter: | 1950 | Dilworth | `S.box` `S.down` |
528	C13-HANDLE-LEAK	mc	3458	LS.asym	back matter: | 1950 | Löwdin | `LS.asym` |
529	C13-HANDLE-LEAK	mc	3459	T.para	back matter: | 1953 | Green | `T.para` |
530	C13-HANDLE-LEAK	mc	3460	3B.index	back matter: | 1954 | Kolmogorov | `3B.index` |
531	C13-HANDLE-LEAK	mc	3461	A.cert	back matter: | 1955 | Tarski | `A.cert` `F.open` |
532	C13-HANDLE-LEAK	mc	3461	F.open	back matter: | 1955 | Tarski | `A.cert` `F.open` |
533	C13-HANDLE-LEAK	mc	3462	B.coll	back matter: | 1957 | Bethe & Salpeter | `B.coll` |
534	C13-HANDLE-LEAK	mc	3463	Q.delta	back matter: | 1958 | Pauli | `Q.delta` |
535	C13-HANDLE-LEAK	mc	3464	A.seaton	back matter: | 1958 | Seaton | `A.seaton` `P.coreblind` `P.lcollapse` `P.polar` `P.qdt` `Q.delta` `Q.final` `Q.pol` |
536	C13-HANDLE-LEAK	mc	3464	P.polar	back matter: | 1958 | Seaton | `A.seaton` `P.coreblind` `P.lcollapse` `P.polar` `P.qdt` `Q.delta` `Q.final` `Q.pol` |
537	C13-HANDLE-LEAK	mc	3464	P.qdt	back matter: | 1958 | Seaton | `A.seaton` `P.coreblind` `P.lcollapse` `P.polar` `P.qdt` `Q.delta` `Q.final` `Q.pol` |
538	C13-HANDLE-LEAK	mc	3464	Q.delta	back matter: | 1958 | Seaton | `A.seaton` `P.coreblind` `P.lcollapse` `P.polar` `P.qdt` `Q.delta` `Q.final` `Q.pol` |
539	C13-HANDLE-LEAK	mc	3464	Q.final	back matter: | 1958 | Seaton | `A.seaton` `P.coreblind` `P.lcollapse` `P.polar` `P.qdt` `Q.delta` `Q.final` `Q.pol` |
540	C13-HANDLE-LEAK	mc	3464	Q.pol	back matter: | 1958 | Seaton | `A.seaton` `P.coreblind` `P.lcollapse` `P.polar` `P.qdt` `Q.delta` `Q.final` `Q.pol` |
541	C13-HANDLE-LEAK	mc	3465	A.intext	back matter: | 1959 | Dijkstra | `A.EW` `A.W` `A.intext` `A.three` |
542	C13-HANDLE-LEAK	mc	3465	A.three	back matter: | 1959 | Dijkstra | `A.EW` `A.W` `A.intext` `A.three` |
543	C13-HANDLE-LEAK	mc	3466	A.dens	back matter: | 1960 | Erdos & Renyi | `A.dens` |
544	C13-HANDLE-LEAK	mc	3469	G.near	back matter: | 1962 | Berge | `G.near` `G.tower` `K.girth` `K.peak` |
545	C13-HANDLE-LEAK	mc	3469	G.tower	back matter: | 1962 | Berge | `G.near` `G.tower` `K.girth` `K.peak` |
546	C13-HANDLE-LEAK	mc	3469	K.girth	back matter: | 1962 | Berge | `G.near` `G.tower` `K.girth` `K.peak` |
547	C13-HANDLE-LEAK	mc	3469	K.peak	back matter: | 1962 | Berge | `G.near` `G.tower` `K.girth` `K.peak` |
548	C13-HANDLE-LEAK	mc	3470	3B.index	back matter: | 1963 | Arnold | `3B.index` |
549	C13-HANDLE-LEAK	mc	3471	K.zcross	back matter: | 1964 | Edlen | `A.S` `K.zcross` `P.buildlimit` `P.charge` `P.iso` `Q.final` |
550	C13-HANDLE-LEAK	mc	3471	P.charge	back matter: | 1964 | Edlen | `A.S` `K.zcross` `P.buildlimit` `P.charge` `P.iso` `Q.final` |
551	C13-HANDLE-LEAK	mc	3471	P.iso	back matter: | 1964 | Edlen | `A.S` `K.zcross` `P.buildlimit` `P.charge` `P.iso` `Q.final` |
552	C13-HANDLE-LEAK	mc	3471	Q.final	back matter: | 1964 | Edlen | `A.S` `K.zcross` `P.buildlimit` `P.charge` `P.iso` `Q.final` |
553	C13-HANDLE-LEAK	mc	3472	G.book	back matter: | 1964 | Moebius | `G.book` |
554	C13-HANDLE-LEAK	mc	3473	C.local	back matter: | 1964 | Rota | `C.local` `G.book` `L.amp` `L.box` `L.mobius` `L.void` `L.voidfrac` |
555	C13-HANDLE-LEAK	mc	3473	G.book	back matter: | 1964 | Rota | `C.local` `G.book` `L.amp` `L.box` `L.mobius` `L.void` `L.voidfrac` |
556	C13-HANDLE-LEAK	mc	3473	L.amp	back matter: | 1964 | Rota | `C.local` `G.book` `L.amp` `L.box` `L.mobius` `L.void` `L.voidfrac` |
557	C13-HANDLE-LEAK	mc	3473	L.box	back matter: | 1964 | Rota | `C.local` `G.book` `L.amp` `L.box` `L.mobius` `L.void` `L.voidfrac` |
558	C13-HANDLE-LEAK	mc	3473	L.mobius	back matter: | 1964 | Rota | `C.local` `G.book` `L.amp` `L.box` `L.mobius` `L.void` `L.voidfrac` |
559	C13-HANDLE-LEAK	mc	3473	L.void	back matter: | 1964 | Rota | `C.local` `G.book` `L.amp` `L.box` `L.mobius` `L.void` `L.voidfrac` |
560	C13-HANDLE-LEAK	mc	3476	K.clock	back matter: | 1967 | Floyd | `K.clock` `K.clockfail` |
561	C13-HANDLE-LEAK	mc	3479	3B.index	back matter: | 1968 | Alekseev | `3B.index` |
562	C13-HANDLE-LEAK	mc	3480	LS.chord	back matter: | 1968 | Gerratt & Mills | `LS.chord` |
563	C13-HANDLE-LEAK	mc	3481	Q.final	back matter: | 1969 | Andrew & Cowan | `P.dcollapse` `Q.collapse` `Q.final` |
564	C13-HANDLE-LEAK	mc	3482	LS.coll	back matter: | 1969 | Griffin, Andrew & Cowan | `LS.coll` |
565	C13-HANDLE-LEAK	mc	3483	LS.chord	back matter: | 1969 | Pulay | `LS.chord` |
566	C13-HANDLE-LEAK	mc	3484	A.alph	back matter: | 1970 | Codd | `A.alph` |
567	C13-HANDLE-LEAK	mc	3487	K.cat	back matter: | 1971 | Lane | `K.cat` `K.comp` `K.deadend` `K.jump` `K.twocol` |
568	C13-HANDLE-LEAK	mc	3487	K.comp	back matter: | 1971 | Lane | `K.cat` `K.comp` `K.deadend` `K.jump` `K.twocol` |
569	C13-HANDLE-LEAK	mc	3487	K.jump	back matter: | 1971 | Lane | `K.cat` `K.comp` `K.deadend` `K.jump` `K.twocol` |
570	C13-HANDLE-LEAK	mc	3487	K.twocol	back matter: | 1971 | Lane | `K.cat` `K.comp` `K.deadend` `K.jump` `K.twocol` |
571	C13-HANDLE-LEAK	mc	3488	LS.coll	back matter: | 1971 | Griffin, Andrew & Cowan | `LS.coll` |
572	C13-HANDLE-LEAK	mc	3489	3B.index	back matter: | 1971 | Saari | `3B.index` |
573	C13-HANDLE-LEAK	mc	3490	K.quiver	back matter: | 1972 | Gabriel | `K.quiver` |
574	C13-HANDLE-LEAK	mc	3491	S.core	back matter: | 1972 | Karp | `S.core` `S.cover` `S.erasure` `S.lam` `S.unit` |
575	C13-HANDLE-LEAK	mc	3491	S.cover	back matter: | 1972 | Karp | `S.core` `S.cover` `S.erasure` `S.lam` `S.unit` |
576	C13-HANDLE-LEAK	mc	3491	S.lam	back matter: | 1972 | Karp | `S.core` `S.cover` `S.erasure` `S.lam` `S.unit` |
577	C13-HANDLE-LEAK	mc	3491	S.unit	back matter: | 1972 | Karp | `S.core` `S.cover` `S.erasure` `S.lam` `S.unit` |
578	C13-HANDLE-LEAK	mc	3493	3B.index	back matter: | 1973 | Saari | `3B.index` |
579	C13-HANDLE-LEAK	mc	3494	B.hstar	back matter: | 1974 | Curtis & Reid | `B.hstar` |
580	C13-HANDLE-LEAK	mc	3495	S.cover	back matter: | 1974 | Johnson | `S.cover` `S.lam` |
581	C13-HANDLE-LEAK	mc	3495	S.lam	back matter: | 1974 | Johnson | `S.cover` `S.lam` |
582	C13-HANDLE-LEAK	mc	3497	3B.index	back matter: | 1974 | McGehee | `3B.index` |
583	C13-HANDLE-LEAK	mc	3498	A.fix	back matter: | 1975 | Baker & Pixley | `A.fix` `A.two` |
584	C13-HANDLE-LEAK	mc	3498	A.two	back matter: | 1975 | Baker & Pixley | `A.fix` `A.two` |
585	C13-HANDLE-LEAK	mc	3499	G.stat	back matter: | 1975 | Csiszar | `G.stat` |
586	C13-HANDLE-LEAK	mc	3500	3B.index	back matter: | 1975 | Marchal & Saari | `3B.index` |
587	C13-HANDLE-LEAK	mc	3501	3B.index	back matter: | 1976 | Monaghan | `3B.index` |
588	C13-HANDLE-LEAK	mc	3502	A.blind	back matter: | 1978 | Freuder | `A.blind` `A.gc` `A.modeA` `A.modeB` `A.three` `G.allcons` `G.prot` `K.corner` `W.jur` |
589	C13-HANDLE-LEAK	mc	3502	A.three	back matter: | 1978 | Freuder | `A.blind` `A.gc` `A.modeA` `A.modeB` `A.three` `G.allcons` `G.prot` `K.corner` `W.jur` |
590	C13-HANDLE-LEAK	mc	3502	G.prot	back matter: | 1978 | Freuder | `A.blind` `A.gc` `A.modeA` `A.modeB` `A.three` `G.allcons` `G.prot` `K.corner` `W.jur` |
591	C13-HANDLE-LEAK	mc	3502	K.corner	back matter: | 1978 | Freuder | `A.blind` `A.gc` `A.modeA` `A.modeB` `A.three` `G.allcons` `G.prot` `K.corner` `W.jur` |
592	C13-HANDLE-LEAK	mc	3502	W.jur	back matter: | 1978 | Freuder | `A.blind` `A.gc` `A.modeA` `A.modeB` `A.three` `G.allcons` `G.prot` `K.corner` `W.jur` |
593	C13-HANDLE-LEAK	mc	3503	L.step	back matter: | 1978 | Gratzer | `L.pushback` `L.step` |
594	C13-HANDLE-LEAK	mc	3504	A.ebits	back matter: | 1978 | Rissanen | `A.ebits` |
595	C13-HANDLE-LEAK	mc	3505	S.core	back matter: | 1979 | Chvatal | `S.core` `S.unit` |
596	C13-HANDLE-LEAK	mc	3505	S.unit	back matter: | 1979 | Chvatal | `S.core` `S.unit` |
597	C13-HANDLE-LEAK	mc	3506	G.trip	back matter: | 1979 | Dawid | `G.trip` |
598	C13-HANDLE-LEAK	mc	3508	I.shape	back matter: | 1981 | Monjardet | `I.shape` `L.metric` `L.occ` |
599	C13-HANDLE-LEAK	mc	3508	L.metric	back matter: | 1981 | Monjardet | `I.shape` `L.metric` `L.occ` |
600	C13-HANDLE-LEAK	mc	3508	L.occ	back matter: | 1981 | Monjardet | `I.shape` `L.metric` `L.occ` |
601	C13-HANDLE-LEAK	mc	3509	C.cut	back matter: | 1982 | Freuder | `A.freuder` `C.cut` `G.cons` `G.ref` `G.shape` `L.E0` `L.box` `L.tree` `T.trad` `3B.def` |
602	C13-HANDLE-LEAK	mc	3509	G.cons	back matter: | 1982 | Freuder | `A.freuder` `C.cut` `G.cons` `G.ref` `G.shape` `L.E0` `L.box` `L.tree` `T.trad` `3B.def` |
603	C13-HANDLE-LEAK	mc	3509	G.ref	back matter: | 1982 | Freuder | `A.freuder` `C.cut` `G.cons` `G.ref` `G.shape` `L.E0` `L.box` `L.tree` `T.trad` `3B.def` |
604	C13-HANDLE-LEAK	mc	3509	G.shape	back matter: | 1982 | Freuder | `A.freuder` `C.cut` `G.cons` `G.ref` `G.shape` `L.E0` `L.box` `L.tree` `T.trad` `3B.def` |
605	C13-HANDLE-LEAK	mc	3509	L.box	back matter: | 1982 | Freuder | `A.freuder` `C.cut` `G.cons` `G.ref` `G.shape` `L.E0` `L.box` `L.tree` `T.trad` `3B.def` |
606	C13-HANDLE-LEAK	mc	3509	L.tree	back matter: | 1982 | Freuder | `A.freuder` `C.cut` `G.cons` `G.ref` `G.shape` `L.E0` `L.box` `L.tree` `T.trad` `3B.def` |
607	C13-HANDLE-LEAK	mc	3509	T.trad	back matter: | 1982 | Freuder | `A.freuder` `C.cut` `G.cons` `G.ref` `G.shape` `L.E0` `L.box` `L.tree` `T.trad` `3B.def` |
608	C13-HANDLE-LEAK	mc	3509	3B.def	back matter: | 1982 | Freuder | `A.freuder` `C.cut` `G.cons` `G.ref` `G.shape` `L.E0` `L.box` `L.tree` `T.trad` `3B.def` |
609	C13-HANDLE-LEAK	mc	3510	T.trad	back matter: | 1982 | Racah | `T.trad` |
610	C13-HANDLE-LEAK	mc	3511	3B.index	back matter: | 1982 | Marchal & Bozis | `3B.index` |
611	C13-HANDLE-LEAK	mc	3512	A.intext	back matter: | 1983 | Beeri, Fagin, Maier & Yannakakis | `A.intext` `C.compare` `K.three` |
612	C13-HANDLE-LEAK	mc	3512	K.three	back matter: | 1983 | Beeri, Fagin, Maier & Yannakakis | `A.intext` `C.compare` `K.three` |
613	C13-HANDLE-LEAK	mc	3513	A.intext	back matter: | 1983 | Maier & Yannakakis | `A.intext` `A.relax` `C.compare` `K.langclose` `K.three` `K.window` |
614	C13-HANDLE-LEAK	mc	3513	A.relax	back matter: | 1983 | Maier & Yannakakis | `A.intext` `A.relax` `C.compare` `K.langclose` `K.three` `K.window` |
615	C13-HANDLE-LEAK	mc	3513	K.three	back matter: | 1983 | Maier & Yannakakis | `A.intext` `A.relax` `C.compare` `K.langclose` `K.three` `K.window` |
616	C13-HANDLE-LEAK	mc	3513	K.window	back matter: | 1983 | Maier & Yannakakis | `A.intext` `A.relax` `C.compare` `K.langclose` `K.three` `K.window` |
617	C13-HANDLE-LEAK	mc	3514	Q.anchor	back matter: | 1986 | Inokuti & Manson | `Q.anchor` `Q.region` `S.status` |
618	C13-HANDLE-LEAK	mc	3514	Q.region	back matter: | 1986 | Inokuti & Manson | `Q.anchor` `Q.region` `S.status` |
619	C13-HANDLE-LEAK	mc	3514	S.status	back matter: | 1986 | Inokuti & Manson | `Q.anchor` `Q.region` `S.status` |
620	C13-HANDLE-LEAK	mc	3515	L.chains	back matter: | 1986 | Stanley | `C.Aq` `C.Bq` `L.F` `L.F1` `L.Fm1` `L.chains` `L.pal` `L.rankpoly` |
621	C13-HANDLE-LEAK	mc	3515	L.pal	back matter: | 1986 | Stanley | `C.Aq` `C.Bq` `L.F` `L.F1` `L.Fm1` `L.chains` `L.pal` `L.rankpoly` |
622	C13-HANDLE-LEAK	mc	3516	G.trip	back matter: | 1988 | Pearl | `G.trip` `K.decay` `K.markov` |
623	C13-HANDLE-LEAK	mc	3516	K.decay	back matter: | 1988 | Pearl | `G.trip` `K.decay` `K.markov` |
624	C13-HANDLE-LEAK	mc	3516	K.markov	back matter: | 1988 | Pearl | `G.trip` `K.decay` `K.markov` |
625	C13-HANDLE-LEAK	mc	3517	A.bpc	back matter: | 1989 | Cooper | `A.bpc` |
626	C13-HANDLE-LEAK	mc	3518	G.cons	back matter: | 1989 | Dechter & Pearl | `G.cons` `G.shape` `K.coupling` |
627	C13-HANDLE-LEAK	mc	3518	G.shape	back matter: | 1989 | Dechter & Pearl | `G.cons` `G.shape` `K.coupling` |
628	C13-HANDLE-LEAK	mc	3519	A.bpc	back matter: | 1989 | Nouguier & Vilarem | `A.bpc` |
629	C13-HANDLE-LEAK	mc	3520	W.scale	back matter: | 1991 | Chinneck & Dravnieks | `W.core15` `W.core9` `W.scale` `W.supp` |
630	C13-HANDLE-LEAK	mc	3520	W.supp	back matter: | 1991 | Chinneck & Dravnieks | `W.core15` `W.core9` `W.scale` `W.supp` |
631	C13-HANDLE-LEAK	mc	3521	K.decay	back matter: | 1991 | Cover & Thomas | `K.decay` |
632	C13-HANDLE-LEAK	mc	3522	A.seaton	back matter: | 1991 | Drake & Swainson | `A.seaton` |
633	C13-HANDLE-LEAK	mc	3524	M.hsmi	back matter: | 1992 | Borchers | `M.C2` `M.hsmi` `M.ledger` |
634	C13-HANDLE-LEAK	mc	3524	M.ledger	back matter: | 1992 | Borchers | `M.C2` `M.hsmi` `M.ledger` |
635	C13-HANDLE-LEAK	mc	3526	M.hsmi	back matter: | 1993 | Wiesbrock | `M.C2` `M.hsmi` `M.ledger` |
636	C13-HANDLE-LEAK	mc	3526	M.ledger	back matter: | 1993 | Wiesbrock | `M.C2` `M.hsmi` `M.ledger` |
637	C13-HANDLE-LEAK	mc	3527	B.newton	back matter: | 1994 | Nesterov & Nemirovskii | `B.newton` `B.selfconc` |
638	C13-HANDLE-LEAK	mc	3528	A.rule	back matter: | 1995 | Beek & Dechter | `A.rule` `A.staircls` |
639	C13-HANDLE-LEAK	mc	3529	K.decay	back matter: | 1996 | Lauritzen | `K.decay` `K.markov` `L.box` `L.voidfrac` |
640	C13-HANDLE-LEAK	mc	3529	K.markov	back matter: | 1996 | Lauritzen | `K.decay` `K.markov` `L.box` `L.voidfrac` |
641	C13-HANDLE-LEAK	mc	3529	L.box	back matter: | 1996 | Lauritzen | `K.decay` `K.markov` `L.box` `L.voidfrac` |
642	C13-HANDLE-LEAK	mc	3530	3B.shape	back matter: | 1998 | Montgomery | `3B.shape` |
643	C13-HANDLE-LEAK	mc	3531	A.env	back matter: | 1999 | Deville | `A.env` `A.orient` `A.r4` `T.tight` |
644	C13-HANDLE-LEAK	mc	3531	A.orient	back matter: | 1999 | Deville | `A.env` `A.orient` `A.r4` `T.tight` |
645	C13-HANDLE-LEAK	mc	3531	T.tight	back matter: | 1999 | Deville | `A.env` `A.orient` `A.r4` `T.tight` |
646	C13-HANDLE-LEAK	mc	3532	A.orient	back matter: | 1999 | Hentenryck | `A.orient` `A.rule` `A.stair` `A.staircls` `T.tight` |
647	C13-HANDLE-LEAK	mc	3532	A.rule	back matter: | 1999 | Hentenryck | `A.orient` `A.rule` `A.stair` `A.staircls` `T.tight` |
648	C13-HANDLE-LEAK	mc	3532	A.stair	back matter: | 1999 | Hentenryck | `A.orient` `A.rule` `A.stair` `A.staircls` `T.tight` |
649	C13-HANDLE-LEAK	mc	3532	T.tight	back matter: | 1999 | Hentenryck | `A.orient` `A.rule` `A.stair` `A.staircls` `T.tight` |
650	C13-HANDLE-LEAK	mc	3534	3B.five	back matter: | 2000 | Chenciner & Montgomery | `3B.five` |
651	C13-HANDLE-LEAK	mc	3535	3B.metric	back matter: | 2002 | Montgomery | `3B.metric` |
652	C13-HANDLE-LEAK	mc	3536	W.rel	back matter: | 2003 | Fredenhagen & Verch | `W.rel` |
653	C13-HANDLE-LEAK	mc	3537	3B.shape	back matter: | 2006 | Hsiang & Straume | `3B.shape` |
654	C13-HANDLE-LEAK	mc	3538	3B.shape	back matter: | 2014 | Montgomery | `3B.shape` `3B.metric` `3B.pot` |
655	C13-HANDLE-LEAK	mc	3538	3B.metric	back matter: | 2014 | Montgomery | `3B.shape` `3B.metric` `3B.pot` |
656	C13-HANDLE-LEAK	mc	3538	3B.pot	back matter: | 2014 | Montgomery | `3B.shape` `3B.metric` `3B.pot` |
657	C13-HANDLE-LEAK	mc	3539	G.graph	back matter: | 2017 | Diestel | `G.graph` |
658	C13-HANDLE-LEAK	mc	3540	3B.index	back matter: | 2019 | Fleischer & Knauf | `3B.index` |
659	C13-HANDLE-LEAK	mc	3541	3B.index	back matter: | 2021 | Kol | `3B.index` |
660	C13-HANDLE-LEAK	mc	3542	3B.index	back matter: | 2023 | Kol | `3B.index` |
661	C13-HANDLE-LEAK	mc	3543	M.sorce	back matter: | 2024 | Sorce | `M.sorce` |
662	C13-HANDLE-LEAK	mc	3544	LS.ent	back matter: | 2026 | Lach, *The Löwdin Solution* | `LS.ent` `LS.law` `LS.coll` `LS.pin` `LS.asym` `LS.quart` `LS.chord` `LS.twin` |
663	C13-HANDLE-LEAK	mc	3544	LS.law	back matter: | 2026 | Lach, *The Löwdin Solution* | `LS.ent` `LS.law` `LS.coll` `LS.pin` `LS.asym` `LS.quart` `LS.chord` `LS.twin` |
664	C13-HANDLE-LEAK	mc	3544	LS.coll	back matter: | 2026 | Lach, *The Löwdin Solution* | `LS.ent` `LS.law` `LS.coll` `LS.pin` `LS.asym` `LS.quart` `LS.chord` `LS.twin` |
665	C13-HANDLE-LEAK	mc	3544	LS.pin	back matter: | 2026 | Lach, *The Löwdin Solution* | `LS.ent` `LS.law` `LS.coll` `LS.pin` `LS.asym` `LS.quart` `LS.chord` `LS.twin` |
666	C13-HANDLE-LEAK	mc	3544	LS.asym	back matter: | 2026 | Lach, *The Löwdin Solution* | `LS.ent` `LS.law` `LS.coll` `LS.pin` `LS.asym` `LS.quart` `LS.chord` `LS.twin` |
