number	class	seated_in	excision_reason	prev_seated	next_seated	entry_text	chat_mentions	repo_files	conversation	conversation_title	date	msg	chat_prose
575	RELOCATED	WORKING-REGISTER.md	C-internal	573	576	**AND I COPIED THE WRONG ONE WHILE CORRECTING THE STALE ONE.** *§32.6.1's repair at register 571 took E(Q) = 4 and a total of sixty-four from the sum line rather than from E.1.2.* **A section fixed for carrying a stale value was given a wro	0						
606	RELOCATED	WORKING-REGISTER.md	A-production	605	607	**THE MATHEMATICS IS EXTRACTED AS A COMPENDIUM, GENERATED RATHER THAN WRITTEN.** *`compendium.py` reads mathreg.py and emits COMPENDIUM.md:* **191 objects across thirteen families, every statement, hypothesis, dependency, source and grade, 	0						
632	RELOCATED	WORKING-REGISTER.md	A-production	631	633	**BOTH COMPENDIA RENDER AS SEARCHABLE PDFS, AND THE RENDERING FOUND THREE FAULTS OF ITS OWN.** *`press_compendia.py` reuses the book press's font registration:* **the mathematical compendium at 25 pages and 53,350 searchable characters, the	2	extracted/archives/restore-point-2-13/press_compendia.py	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	2026-08-03	597	produced crossed tags** — the book press read the backslash-asterisks as italic delimiters and they interleaved with the bold. **The entry describing the notation fault caused the notation fault.** # Both compendia rendered, searchable, clean | | pages | searchable | glyph errors | leaked markup | |---|---|---|---|---| | **Mathematical Compendium** | **25** | 53,350 chars | **0** | **0** | | **Spectra Compendium** | **7** | 14,557 chars | **0** | **0** | **Both reuse the book press's font registration**, so Greek, subscripts, arrows and the lattice operators all render — and both rebuild from source with one command. ## Three faults found in the rendering, and a fourth in recording them **Bold spanning a line break** leaked asterisks — fixed by joining paragraphs before processing, which is what markdown means anyway. **The source block was rendered as code** where it is prose, so
637	RELOCATED	WORKING-REGISTER.md	A-production	636	638	**ALL THREE COMPENDIA RENDER AS SEARCHABLE PDFS, AND THE THIRD FOUND TWO MORE PRESS FAULTS.** **Mathematical 25 pages, Spectra 7, Register 34 — zero replacement glyphs and no leaked markup in any.** *Two repairs: a table taller than the fra	0	extracted/archives/restore-point-2-13/press_compendia.py					
642	RELOCATED	WORKING-REGISTER.md	A-production	641	643	**AND THE COMPENDIUM PRESS LEARNED TO PLACE FIGURES WHILE DOING IT.** *`![caption](file.png)` is now scaled to the frame, kept with its caption, and centred —* *and the caption is a paragraph rather than an image attribute, so it is searcha	0						
647	RELOCATED	WORKING-REGISTER.md	C-internal	646	648	**THE FIVE DOCUMENTS WERE AUDITED AGAINST EACH OTHER, AND THREE FIGURES IN THE BOOK WERE STALE IN THE PRESENT TENSE.** *It stands at 176 objects*, *179 objects · 162 settled* *and* *182 objects · 172 settled* *against a live register of* **	1	extracted/archives/restore-point-2-13/cross_audit.py	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	2026-08-03	623	-653 were added after the kept set was computed, those new entries might be uncited.Three faults. Checking the first, which sounds like the serious one: **Confirmed and serious — 215 entries are gone from the compendium.** `register_gen.py` reads chapter 28, and chapter 28 was thinned, so **the compendium regenerated from the reduced set and the record collapsed.** Recovering from the pre-reconstruction source: **Recovered — 457 entries covering 165–653.** Now the second and third faults: I'm noticing that Part 0 of the table of contents only has a single line for the preface without any chapter subdivisions, whereas the other parts list their chapters with numbered headers. This means Part 0 is missing a structural tier compared to the rest of the TOC.Three things visible. **Part 0 carries only a bare line where every other part lists chapters** — and **Chapter 4 still says *se
649	RELOCATED	WORKING-REGISTER.md	A-production	648	652	**AND THE ARTEFACTS THEMSELVES WERE CHECKED AGAINST THEIR SOURCES, WHICH FOUND A FONT.** **FreeSerifBold has no blackboard-bold glyphs — ℝ ℂ ℤ ℕ ℚ are absent from the bold face and present in the regular** *— so each was* **silently dropped	0	extracted/archives/restore-point-2-13/compendium_audit.py					
650	RELOCATED	WORKING-REGISTER.md	A-production	648	652	**ALL THREE PARTS PASS.** **Part 1* **, sixteen shared figures identical across five documents and the composability profile identical in four.* **Part 2* **, every object listed once with no dangling dependency, every channel row, every re	0	extracted/archives/restore-point-2-13/compendium_audit.py; extracted/archives/restore-point-2-13/register_gen.py					
651	RELOCATED	WORKING-REGISTER.md	A-production	648	652	**AND PART 3's OWN SAMPLER NEEDED TWO REPAIRS, BOTH OF THE SAME KIND.** *A statement carrying backticks renders as a font span and the marks vanish, so the raw source form was never going to be found; and* **a sentence spanning a page break	2	drive/The Method Materials/CORPUS/WORKING-REGISTER.md; drive/The Method Materials/CORPUS/mkref.py; drive/The Method Materials/LOWDIN-DELIVERY-1/The_Method_1_6_BUILD150_compendia_papers_audits.md	e4cb6c2f-04ff-4f55-bf30-4ed38e46f748	50	2026-08-27	7	"'s era shows it plainly: the sampler kept mistaking *the book's running header* — ""The Method — The Lach Cylinder"" — and *page numbers* for lost text, because both were being printed. That pipeline was the reportlab one, with `pagemap.py`, computed column widths and dot leaders in two-column rows. Folios existed and worked. They were lost when the press moved to pandoc + LibreOffice, and no one noticed because the new `ref.docx` rubric inherited none of the old checks. So it is a **regression at the pipeline migration**, not a gap nobody ever thought of. I wrote ""the rubric never asserted a folio, so no session ever failed for its absence"" — and I asserted that without searching the record first. That is the precise failure this project keeps a gate for, and I did it while writing a new gate about it. G0ab as I worded it should be struck; the real lesson is narrower and less flattering:"
654	RELOCATED	WORKING-REGISTER.md	A-production	653	655	**THE REGISTER COMPENDIUM HAD LOST 215 ENTRIES, BECAUSE IT READ A CHAPTER THAT HAD BEEN THINNED.** *`register_gen.py` regenerated from chapter 28, and chapter 28 keeps only what the book cites — so* **the complete record collapsed to the se	2	extracted/archives/restore-point-2-13/register_gen.py	f2069859-86cc-427e-a1e2-09f1321b39ae	The Method 1.6.1	2026-08-10	355	KB · INDICES 89 KB · SPECTRA 74 KB · PHYSICS 42 KB | | **Their sources** | `REGISTER-DATA.md` 650 KB, `mathreg.py` 145 KB, and the three authored tails | | **Everything else** | all scripts, protocols, captures, the corridor, the audits | So nothing is lost in the transfer — the compendia arrive both as built artefacts *and* as the sources that generate them, which matters because the sources are what you edit and the artefacts rebuild from them. **One correction to what I said earlier.** `restore-point-1_6p.tar.gz` is complete through register 1426 in the *sources*, but its built compendia are one rebuild behind — COMPENDIUM.md and INDICES.md here are timestamped 21:50 and 21:55, after 1_6p was cut at 21:26. That's not a loss: reapplying the seven registers and the six code edits and running the rebuild chain regenerates them exactly. The gates confirm it. **The one thing not in the
657	RELOCATED	WORKING-REGISTER.md	A-production	656	658	**AND THE REPAIR IMMEDIATELY LOST THE THREE ENTRIES THAT RECORDED IT.** *With the compendium reading `REGISTER-DATA.md`, entries 654–656 lived only in chapter 28 and vanished from the record —* *the same fault as 654, one step along.* **The	0	extracted/archives/restore-point-2-13/register_gen.py					
660	RELOCATED	WORKING-REGISTER.md	A-production	659	673	**AND PART 3's SAMPLER NEEDED A THIRD REPAIR, FROM THE SAME FAMILY.** *A wrapped sentence had the book's* **running header** *between its halves, not a page number —* *The Method — The Lach Cylinder* *— and the first fix for it was a patter	0	extracted/archives/restore-point-2-13/artefact_audit.py					
661	UNSEATED-CITED-IN-REPO			659	673		0	extracted/archives/method16-rp-b-data/COLLECTION-LOG.md; recovered/COLLECTION-LOG.md					
662	UNSEATED-CITED-IN-REPO			659	673		0	extracted/archives/method16-rp-b-data/COLLECTION-LOG.md					
663	UNSEATED-CITED-IN-REPO			659	673		0	extracted/archives/restore-point-2-13/reader_audit.py					
664	RELOCATED	WORKING-REGISTER.md	A-production	659	673	**THE CONTENTS LOST AN ENTIRE TIER, AND 202 SUBSECTIONS WERE INVISIBLE TO A READER.** *The press collected three levels and cut the third with a hard-coded `count('.') < 2` —* **so 12.11.1.3, 14.5.10, 19.5.1, 28.7.9 and every section writte	0	extracted/archives/restore-point-2-13/The Method 1.6 press.py					
665	RELOCATED	WORKING-REGISTER.md	A-production	659	673	**AND THE CONTENTS HAD NO PAGE NUMBERS, BECAUSE A PAGE NUMBER DOES NOT EXIST UNTIL THE DOCUMENT IS LAID OUT.** *`pagemap.py` extracts heading → page from a build and the press reads `PAGEMAP.tsv` on the next, rendering unnumbered and still 	0	extracted/archives/restore-point-2-13/The Method 1.6 press.py; extracted/archives/restore-point-2-13/pagemap.py; recovered/pagemap.py					
666	RELOCATED	WORKING-REGISTER.md	A-production	659	673	**THE PAGE NUMBERS WRAPPED ONTO THEIR OWN LINES UNTIL THE ROW BECAME A TABLE.** *A dot leader computed into a Paragraph exceeded the frame whenever a title was long.* **Each contents row is now a two-column table, title left and number righ	0	extracted/archives/restore-point-2-13/The Method 1.6 press.py; extracted/archives/restore-point-2-13/pagemap.py					
667	RELOCATED	WORKING-REGISTER.md	A-production	659	673	**AND NONE OF THIS WAS VISIBLE TO FIVE AUDIT SETS RUN REPEATEDLY.** *Every check read an extraction of the text;* **the fault was in the layout, and one glance at a rendered page found what 4,650 text measurements did not.** *The reader aud	0						
668	RELOCATED	WORKING-REGISTER.md	A-production	659	673	**THE COMPENDIUM TABLES USED EQUAL COLUMN WIDTHS, SO EVERY TABLE WAS LAID OUT WRONGLY.** *`colWidths=[w]**n` gave `n` and `fits` the same space as `limit cm-1` — wide values broke across two lines while narrow columns sat two-thirds empty, 	2	drive/The Method Materials/CORPUS/WORKING-REGISTER.md; drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json; drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	2026-08-03	642	> **`colWidths=[w]*n` — every compendium table was laid out with equal columns.** `n` and `fits` got the same space as `limit cm⁻¹`, so wide values broke across two lines while narrow columns sat two-thirds empty. **Now measured in points with `stringWidth`**, each column floored at its widest unbreakable token plus padding, slack distributed to the columns that want it. **Three passes, and the two failures are the instructive part:** character counts under-measure and broke `3–5`; measuring in points fixed the values and **broke the headers**, because my padding allowance was under the table's actual cell padding. --- **Every layout fault this session — the missing contents tier, the absent page numbers, the wrapped numbers, the equal columns — was found by looking at a rendered page.** None was visible to six audit sets reading extracted text, run repeatedly, all passing. **That
669	RELOCATED	WORKING-REGISTER.md	A-production	659	673	**A TABLE WIDER THAN ITS FRAME IS CENTRED, SO IT OVERFLOWS BOTH EDGES — AND THE OPERATORS TABLE LOST ITS ENTIRE FIRST COLUMN OFF THE PAGE.** *Clamped to the frame width and pinned left.* **And code spans render in Mono at 8.2pt where the wi	0	extracted/archives/restore-point-2-13/press_compendia.py					
670	UNSEATED-CITED-IN-REPO			659	673		0	extracted/archives/method16-rp-b-data/COLLECTION-LOG.md					
671	UNSEATED-CITED-IN-REPO			659	673		0	extracted/archives/method16-rp-b-data/COLLECTION-LOG.md					
672	UNSEATED-CITED-IN-REPO			659	673		0	extracted/archives/method16-rp-b-data/COLLECTION-LOG.md					
682	UNSEATED-CITED-IN-REPO			681	684		0	extracted/archives/restore-point-2-13/spectra_raw/BaLII.tsv; recovered/BaLII.tsv					
683	UNSEATED-CITED-IN-REPO			681	684		0	extracted/archives/method16-rp-b-data/COLLECTION-LOG.md					
687	UNSEATED-CITED-IN-REPO			686	689		0	extracted/archives/method16-rp-b-data/COLLECTION-LOG.md; extracted/archives/restore-point-2-13/spectra_raw/QD-CHECK.tsv; recovered/QD-CHECK.tsv					
688	UNSEATED-CITED-IN-REPO			686	689		0	extracted/archives/method16-rp-b-data/COLLECTION-LOG.md					
902	RELOCATED	WORKING-REGISTER.md	B-session	901	903	**THE FIFTH COMPENDIUM EXISTS BECAUSE FOUR FAULTS IN ONE SESSION SHARED ONE CAUSE: A TRANSITION PERFORMED WITHOUT ITS RULE WRITTEN DOWN.** *Register 868 used R∞ for every species where the reduced-mass constant is correct. Register 879 wrot	2		3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	2026-08-03	870	— why it was needed **Four faults today shared one cause: a transition performed without its rule written down.** **868** — R∞ for every species. **879** — Li III's limit as a formula. **766** — atomic numbers where the core's charge is needed. **782** — a verification column set to its own denominator. > **None of the four is a mistake in physics or in mathematics. Each is a mistake at the seam, and no document owned the seam.** ## What's in it **Λ** — carries no physical number at all; a cell is an arrangement, not a measurement. With §24's own words on it being a recoding, and register 834's measurement of what that means. **Λ_spectra** — both constants named with the value each must take and why. **And that the ionisation limit MUST be measured**, with Li III's 26.45 cm⁻¹ and B V's 678 as what happens otherwise. **The bracket** — both forms, and the trade-off: §22.1 is a dedu
995	RELOCATED	WORKING-REGISTER.md	A-production	994	997	**AND THE RUN FOUND THAT THE PHYSICS COMPENDIUM WAS NOT IN THE READER AUDIT AT ALL.** *It was added at register 901 and the typography audit still read five documents.* **A compendium can be built, pressed, sealed and shipped without any au	2		3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	2026-08-03	936	"— and the run found something **The Physics Compendium wasn't in the reader audit at all.** Added at register 901, and the typography audit was still reading five documents. > **A compendium can be built, pressed, sealed and shipped without any audit noticing it exists** — the same fault class as register 778's drifting mechanism list. Now wired in; the set reads six. ## Register 996 — and the 6,530 typography findings resolve honestly **4,788 are overlong lines, 349 are blank-line runs** — artefacts of reading a typeset page at fixed width. **The 396 duplicate section numbers are the book's own §-numbering appearing in both its contents listing and its body.** **All 53 ""unmatched brackets"" were checked individually. Every one is a line-wrap** — a bracket opening on one line and closing on the next after the extractor splits it. **None is markup damage.** > **A typography audit t"
996	RELOCATED	WORKING-REGISTER.md	A-production	994	997	**THE READER AUDIT'S 6,530 FINDINGS ARE TYPOGRAPHY, NOT CORRECTNESS, AND THEY RESOLVE HONESTLY.** *4,788 are overlong lines and 349 are runs of blank lines — artefacts of a fixed-width reading of a typeset page. The **396 duplicate section 	2	drive/The Method Materials/CORPUS/WORKING-REGISTER.md; drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json; drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	2026-08-03	936	"— and the 6,530 typography findings resolve honestly **4,788 are overlong lines, 349 are blank-line runs** — artefacts of reading a typeset page at fixed width. **The 396 duplicate section numbers are the book's own §-numbering appearing in both its contents listing and its body.** **All 53 ""unmatched brackets"" were checked individually. Every one is a line-wrap** — a bracket opening on one line and closing on the next after the extractor splits it. **None is markup damage.** > **A typography audit that reports six thousand findings is doing its job only if its findings can be told from faults.** These were, one class at a time. Running the full set — **the twenty-two prime audits plus every companion:** Two need a closer look — **`check_audit` printed nothing and `reader_audit` reports 6,435 findings:** The reader_audit is flagging typography and layout issues rather t"
998	RELOCATED	WORKING-REGISTER.md	A-production	997	1001	**THE BOOK FAILED TO PRESS, AND THE CAUSE WAS TWO COMPENDIUM FIGURES WRITTEN INTO THE BOOK'S OWN FIGURE DIRECTORY.** *`figures/` holds the book's twenty-eight legacy figures and the press asserts that count; `fig-spectra-grid.png` and `fig-	2	extracted/archives/restore-point-2-13/The Method 1.6 press.py	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	2026-08-03	938	— the book wouldn't press, and it was my doing **`figures/` holds the book's twenty-eight legacy figures and the press asserts that count.** I'd written `fig-spectra-grid.png` and `fig-spectra-lattice.png` into it, making thirty — **and the assertion fired with no message at all.** They now live in `figures-compendia/`, and **the assertion says what the count means when it fails.** Second time today a guard has fired correctly and unhelpfully. ## Register 1000 > **The thousandth register records a routine build. No claim was made in it, nothing found, nothing withdrawn.** > > **That is the state the work has been trying to reach since register 673: a compendium that regenerates from its sources, presses to six documents, and passes every audit without anyone adjusting a number to make it do so.** > > **The sources are the levels in `spectra_raw/`, the register in `REGISTER-DATA.md`,
999	RELOCATED	WORKING-REGISTER.md	A-production	997	1001	**ALL SIX DOCUMENTS ARE RENDERED FROM SOURCE AND AUDITED.** *The book at 249 pages; the Register, Mathematical, Spectra, Index-of-Indices and Physics compendia.* **Twenty-two prime audits pass; appendix, criterion, cross, compendium, artefa	0						
1000	RELOCATED	WORKING-REGISTER.md	A-production	997	1001	**THE THOUSANDTH REGISTER, AND WHAT IT RECORDS IS A ROUTINE BUILD.** *No claim was made in it, nothing was found, nothing withdrawn.* **That is the state the work has been trying to reach since register 673: a compendium that regenerates fr	4	drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json; drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json; drive/The Method Materials/Claude Projects/01a00c16-a815-7288-b7a8-a8f3d3e57f8f.json	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	2026-08-03	938	> **The thousandth register records a routine build. No claim was made in it, nothing found, nothing withdrawn.** > > **That is the state the work has been trying to reach since register 673: a compendium that regenerates from its sources, presses to six documents, and passes every audit without anyone adjusting a number to make it do so.** > > **The sources are the levels in `spectra_raw/`, the register in `REGISTER-DATA.md`, and the objects in `mathreg.py`. Everything else is generated — and that is why it can be trusted to this extent and no further.** **Ready for the screenshots when they come.** **The book press is failing an assertion** — five compendia built, the book didn't. Finding it: I'm realizing theThe two spectra figures were written into the legacy figure directory and broke its count: **Thirty where twenty-eight are expected.** The two spectra figures
1002	RELOCATED	WORKING-REGISTER.md	A-production	1001	1003	**SIX DOCUMENTS ARE ARCHIVED RATHER THAN DELETED.** *`OPEN-PINNED.md` and `PINNED-NEXT-BUILD.md` date from version 1.4; `SPECTRA-REMAINING.md` was superseded by `QUEUE.md`; `audit_out.txt` is from the era of twenty-one prime audits.* **And 	0						
1013	RELOCATED	WORKING-REGISTER.md	C-internal	1012	1014	**FOUR OF FIVE REGISTERED FIGURES REPRODUCE EXACTLY; THE FIFTH WAS STALE AND IS CORRECTED.** *P.lcollapse 179/179 ✓ · P.jj 113/128 ✓ · P.mono and the δ-bracket reproduce their current values · **P.selfsame is 58 of 60, not 46 of 48* ** — th	2		3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	2026-08-03	1162	", 1048 and now this.** The equation is closer than I said, and the multiplicative core is the right shape. M's pushing back because I contradicted myself—I said ""no equation exists"" when the whole point of this work is finding one. But looking at what I've actually tested: the additive form fits the values but mangles the ranking, while the multiplicative form preserves rank but can't handle the values or exceptions. That doesn't mean no solution exists, just that neither of these approaches is the right one.You're right, and I overstated it into a principle when it was a result about two specific forms. **What I actually established is that a *purely* additive form loses rank and a *purely* multiplicative one can't hold exceptions. That is not ""no equation"" — it's that neither of the two I tried is the right shape.** **The physics suggests the shape directly: a product of scales, time"
1051	RELOCATED	WORKING-REGISTER.md	B-session	1050	1052	**`standing.py` WAS READING A TABLE NOBODY HAD UPDATED SINCE REGISTER 845, AND THE WHOLE VERIFICATION PICTURE WAS STALE BY A SESSION.** *It printed P.lcollapse at 159/159, P.mono at 113/130 as one claim, and no P.charge row at all — a mecha	2		3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	2026-08-03	986	— and `standing.py` was a session out of date **It printed P.lcollapse at 159/159, P.mono as one claim, and no P.charge row at all** — a mechanism that has existed since register 963. > **A summary script carrying its own copy of the figures is register 778's fault in a fourth location.** Now pointed at what `pverify` measures. ## Register 1052 — and what closed P.mono was the *statement*, not the data **As one claim it sat at 87% and OPEN. As two it closes on both halves.** **Sixteen claims became eighteen, and those with an interval under ten points went from 1 of 16 to 4 of 18. Nothing was measured to achieve that.** ## Register 1054 — and the nine still open split cleanly **Six are open for sample size**: P.dcollapse 10/10, P.trunc 4/4, P.qdt 4/4, P.coreblind 2/2, P.buildlimit 1/1, P.perturb 1/1 — **every one at 100%, every interval reaching below 72%.** **Only two are open
1138	UNSEATED-CITED-IN-CHAT			1137	1139		6	drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json; drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json; extracted/archives/restore-point-2-13/aufbau.py	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	2026-08-03	1088	". Not a nesting, not an equality. The step closure values cells the envelopes exclude. **""(·, ·)""** — the equation returns a *pair*. Collapsing it to one number is what made 98.3% coverage out of 32%. **And when v is empty** — as it is for Λ, whose cells are arrangements and hold no number — **the second component vanishes and the whole thing reduces to E(X) = |ℛ(X)| − |X|**, which is the form the book has carried since the beginning, exact for exactly that reason. # The Method Equation **For an index X ⊆ ∏ᵢ₌₁ᵈ Aᵢ carrying a partial valuation v : X ⇀ ℝ₊, with envelopes φ̂ᵢⱼ(t) = max{ xᵢ : x ∈ X, xⱼ ≤ t } and, for each direction δ, the measured ratio ρ_δ = med{ v(x)/v(x+δ) } and scatter σ_δ = gsd{ v(x)/v(x+δ) } taken over pairs where both cells are measured:** $$ \Big(\;\big|\mathcal{R}(X)\big| - |X|,\;\; \big|\mathcal{C}_\tau(X,v)\big| - |\mathrm{dom}\,v|\;\Big) $$ **where** $$ \ma"
1149	RELOCATED	WORKING-REGISTER.md	A-production	1148	1150	**AND THE PRESS LEAKS MARKUP WHEN A LINE BEGINS WITH A BOLD MARKER, WHICH NO REGISTER HAD TRIGGERED UNTIL NOW.** *Entry 1148's bold spans were balanced and the audit still failed: the closing `**` reached the PDF because the opening one sat	2		3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	2026-08-03	1119	:** the press leaks markup when a line *begins* with a bold marker. **`artefact_audit` caught it on the first build after I wrote the entry** — the register reads correctly as text, and nothing else would have found it. --- **The survey stands at 101,328 cells across 118 elements: 311 measured, 1,043 walked, 929 exact, 35,852 bounded within three, 63,193 forced to zero.** **Every derived cell carries its own falsifier, and the equation makes each one checkable from a published number rather than a capture.** The refit barely budged the RMS error, and the coefficient for the valence term is nearly zero, so the fit rejected my proposed correction. Even though potassium and strontium clearly exhibit different decay patterns, the compendium's 311 channels don't support adding this term — the issue is that my valence definition, based on the core's outermost subshell occupancy, gives 6
1223	RELOCATED	WORKING-REGISTER.md	C-internal	1222	1224	**A STALE AUDIT RESULT, AND THE CAUSE IS THE ZENO CACHE DOING ITS JOB.** *After rebuilding the Spectra Compendium the audit reported two failures on a header it had already been taught to read. The header matched — 596 rows against 596, 2,2	0	drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json; drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json; drive/The Method Materials/Claude Projects/01a00c16-a815-7288-b7a8-a8f3d3e57f8f.json					
1245	RELOCATED	WORKING-REGISTER.md	C-internal	1244	1246	**THE WIDENED PATTERN THEN EXPOSED A SECOND FAULT IT HAD BEEN HIDING: SEVEN DUPLICATED ENTRIES.** *Labels 1165 to 1171 each appeared twice in `REGISTER-DATA.md`, written in a session where the archive was appended to twice.* **They were inv	0						
1248	RELOCATED	WORKING-REGISTER.md	A-production	1247	1249	**AND THE WIDENED PATTERN EXPOSED A THIRD FAULT: EIGHT ENTRIES WITH UNPAIRED BOLD MARKERS.** *Each had a bold opened inside an italic block and never closed, so the marker leaked into the PDF as literal asterisks. They had been invisible fo	0						
1257	RELOCATED	WORKING-REGISTER.md	B-session	1256	1258	**A CORRECTION I MADE TO MYSELF MID-SESSION, RECORDED.** *I twice called this a derivation and it is not one. The load-bearing step below the gate is empirical, and Ostrovsky's standing objection to every claimed solution — that such approa	4		3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	2026-08-03	1471	"records the correction I made to myself**: I called this a derivation twice and it isn't one. Ostrovsky's standing objection applies to us as it does to every claimed solution. ## The queue leads with where to resume **One question, on one number: what sets frac(δ) below the gate?** It's the phase against the core's outermost subshell — one overlap, not a residue. **If that can be derived, the chain closes.** Then the collapse branch, and then the ""2"" in max(2−ℓ,0). ## Workspace **41 MB · 121 scripts · 11 markdown sources.** The Löwdin scripts are preserved as `madelung.py`, `madelung2.py`, `channels_principle.py` and five `lowdin_*.py`; `/tmp` is cleared. --- **A long day, and the best of it came after you told me to stop being ready to stop.** The gate, the integer shortfall and the cancellation all came out of that. Until tomorrow. # Sealed — **register"
1358	RELOCATED	WORKING-REGISTER.md	A-production	1357	1359	**THE ARTEFACT PASS, FIRST STAGE.** *The Index of Indices gains section IX — the thirteen indexes built in the Löwdin work, each with coordinates, closing order, refusals and the one thing only it contributes, plus an extended one-line summ	0						
1373	RELOCATED	WORKING-REGISTER.md	A-production	1372	1374	**THE COMPENDIUM'S REBUILD WAS DROPPING ITS OWN TAIL.** *§5.3 instructs `python3 compendium.py > COMPENDIUM.md` on the ground that generating from the register stops drift. But the Löwdin section — corridor, surds, staircase algebra, observ	18	drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json; drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json; drive/The Method Materials/Claude Projects/01a00c16-a815-7288-b7a8-a8f3d3e57f8f.json	4945af0e-6ff8-45ee-a138-940c87ad90a4	The Method 1.7	2026-08-10	29	, 1386 and 1388. So the six changes can't be applied until the tails are separated out of `compendium.py`, `indices.py` and `physics.py` first — and 1388 is explicit that `physics.py` writes in place and will destroy its own tail if run as a test. The reference tree at `/home/claude/rp` is untouched and the baseline tar is in outputs, so that hazard is contained. Second gate stands at zero of five until `roundtrip.py` exists to run it. I'm starting the rebuild phase with a structured approach: first I'll isolate the work by copying the rp directory to a separate workspace while keeping the original intact, then create a baseline archive. After that, I need to transform 63 registers from their raw prose format into a standardized markdown structure with numbered entries, bold headers, and alternating text styling with proper line wrapping. The formatting is strict — each entry needs bal
1386	RELOCATED	WORKING-REGISTER.md	A-production	1385	1387	**THE SAME LOST-TAIL FAULT, SECOND INSTANCE, FOUND BY LOOKING RATHER THAN BY ACCIDENT.** *Approaching the Index of Indices to add Λ_xray, the same test was run first.* **`indices.py` drops 12,695 characters — the whole of section IX, all th	7	extracted/archives/method16-rp-b-data/PROVENANCE.md; recovered/PROVENANCE.md	4945af0e-6ff8-45ee-a138-940c87ad90a4	The Method 1.7	2026-08-10	35	"and confirming the math: 12,701 minus the 6-character offset from the date substitution. Once I verify… I'm seeing a unit mismatch across the three registers: COMPENDIUM reports bytes as characters, while INDICES and PHYSICS correctly report characters. This inconsistency in how the values are labeled is worth noting.… I'm noticing that PHYSICS round-trips correctly while COMPENDIUM and INDICES don't, likely due to how I'm handling trailing newlines with `end=""""` and the tail function. Looking at the difference for COMPENDIUM specifically, the original `print` statement adds a newline after the joined content, but my version loses that newline between the main content and the tail that starts with ""# THE MATHEMATICS..."".… I'm noticing a discrepancy in the file sizes — the held version of INDICES.md is 174500 characters, which matches the byte count from earlier, but th"
1388	RELOCATED	WORKING-REGISTER.md	A-production	1387	1390	**THE THIRD LOST TAIL, AND I DESTROYED THE HELD COPY FINDING IT.** *SPECTRA.md and REGISTER.md round-trip exactly. PHYSICS.md does not — it carries an authored Λ_chem section of* **7,242 characters** *that `physics.py` never wrote.* **But `	2	extracted/archives/method16-rp-b-data/PROVENANCE.md; extracted/archives/restore-point-2-13/roundtrip.py; recovered/PROVENANCE.md	4945af0e-6ff8-45ee-a138-940c87ad90a4	The Method 1.7	2026-08-10	47	and never edited afterwards. The 1.6.1 extraction gave 7,242 characters; mine gives 7,242 characters and opens on the same heading. It is complete and correct as held. Worth noting how their repair and mine converged. Their `physics.py` patch appended a blank line before the tail, which broke the byte comparison by one character; they removed it and it round-tripped. Mine joins with a single newline and round-trips. Same resolution, reached independently, and in both cases found by the diff rather than by reading. Their version raises `SystemExit(1)` on a missing tail; mine reads the tail before opening the file for writing, which is marginally stronger — the file handle never opens at all. **Item 9 is closed, and the answer is no.** The book was never caught up. Its highest cited register is **1225**, and it contains zero mentions of Λ_xray, Λ_traj, Nilsson, the six pairs, the parent
